Channel;VariantID;PhotoType;Sensitive
MRP;5756269973102509;e1;FALSE
MRP;5756269973102509;fr;FALSE
MRP;5756269973102509;in;FALSE
MRP;5756269973102509;ou;FALSE
MRP;5756269973102509;sw;FALSE
MRP;5756269973102532;bk;FALSE
MRP;5756269973102532;cu;FALSE
MRP;5756269973102532;e1;FALSE
MRP;5756269973102532;fr;FALSE
MRP;5756269973102532;in;FALSE
MRP;5756269973102532;ou;FALSE
MRP;5756269973102532;sw;FALSE
MRP;5756269973102530;bk;FALSE
MRP;5756269973102530;cu;FALSE
MRP;5756269973102530;e1;FALSE
MRP;5756269973102530;fr;FALSE
MRP;5756269973102530;in;FALSE
MRP;5756269973102530;ou;FALSE
MRP;5756269973102530;sw;FALSE
MRP;5756269973102505;bk;FALSE
MRP;5756269973102505;cu;FALSE
MRP;5756269973102505;e1;FALSE
MRP;5756269973102505;fr;FALSE
MRP;5756269973102505;in;FALSE
MRP;5756269973102505;ou;FALSE
MRP;5756269973102505;sw;FALSE
MRP;5756269973102501;bk;FALSE
MRP;5756269973102501;cu;FALSE
MRP;5756269973102501;e1;FALSE
MRP;5756269973102501;fr;FALSE
MRP;5756269973102501;in;FALSE
MRP;5756269973102501;ou;FALSE
MRP;5756269973102501;sw;FALSE
MRP;5756269973102500;bk;FALSE
MRP;5756269973102500;cu;FALSE
MRP;5756269973102500;e1;FALSE
MRP;5756269973102500;fr;FALSE
MRP;5756269973102500;in;FALSE
MRP;5756269973102500;ou;FALSE
MRP;5756269973102500;sw;FALSE
MRP;5756269973102506;bk;FALSE
MRP;5756269973102506;cu;FALSE
MRP;5756269973102506;e1;FALSE
MRP;5756269973102506;fr;FALSE
MRP;5756269973102506;in;FALSE
MRP;5756269973102506;ou;FALSE
MRP;5756269973102506;sw;FALSE
MRP;5756269973102504;bk;FALSE
MRP;5756269973102504;cu;FALSE
MRP;5756269973102504;e1;FALSE
MRP;5756269973102504;fr;FALSE
MRP;5756269973102504;in;FALSE
MRP;5756269973102504;ou;FALSE
MRP;5756269973102504;sw;FALSE
MRP;5983760398223779;bk;FALSE
MRP;5983760398223779;cu;FALSE
MRP;5983760398223779;e1;FALSE
MRP;5983760398223779;fr;FALSE
MRP;5983760398223779;in;FALSE
MRP;5983760398223779;ou;FALSE
MRP;5983760398223779;sw;FALSE
MRP;3983529958022065;bk;FALSE
MRP;3983529958022065;cu;FALSE
MRP;3983529958022065;e1;FALSE
MRP;3983529958022065;e2;FALSE
MRP;3983529958022065;e3;FALSE
MRP;3983529958022065;fr;FALSE
MRP;3983529958022065;in;FALSE
MRP;3983529958022065;ou;FALSE
MRP;3983529958022065;sw;FALSE
MRP;3983529958022113;bk;FALSE
MRP;3983529958022113;cu;FALSE
MRP;3983529958022113;e1;FALSE
MRP;3983529958022113;e2;FALSE
MRP;3983529958022113;e3;FALSE
MRP;3983529958022113;fr;FALSE
MRP;3983529958022113;in;FALSE
MRP;3983529958022113;ou;FALSE
MRP;3983529958022113;sw;FALSE
MRP;666467151853188;bk;FALSE
MRP;666467151853188;cu;FALSE
MRP;666467151853188;e1;FALSE
